fold,method,readable,signature,n conditions,time only,train support,valid coverage,train effect,valid effect,valid effect CI low,valid effect CI high,enough coverage,same direction,CI excludes 0,validated,time window coverage,formulation effect in window,formulation CI low,formulation CI high,formulation part holds,raw rule,phase,evidence,evidence reason,folds replicated
0,Early phase tree (depth 3),IF Drug Encapsulation Efficiency is not Low AND Polymer MW is not Low AND Drug Loading Capacity is not clearly Low,"(('Drug Encapsulation Efficiency is Low', 'low'), ('Drug Loading Capacity is Low', 'low'), ('Polymer MW is Low', 'low'))",3,False,0.1671497584541063,0.1419,-0.17946802152295713,0.016586359464118017,-0.29298925819338106,0.3233153844193201,True,False,False,False,1.0,0.016586359464118017,-0.3000152238106556,0.331705132119167,False,Drug Encapsulation Efficiency is Low <= 0.0205805 and Polymer MW is Low <= 0.0909091 and Drug Loading Capacity is Low <= 0.990265,Early,rejected,"failed held-out test: direction, CI excludes 0",0
0,Early phase tree (depth 3),IF Drug Encapsulation Efficiency is not Low AND Polymer MW is not Low AND Drug Loading Capacity is mostly Low,"(('Drug Encapsulation Efficiency is Low', 'low'), ('Drug Loading Capacity is Low', 'high'), ('Polymer MW is Low', 'low'))",3,False,0.030917874396135265,0.0338,0.0261053258621676,0.209551725376408,,,False,True,False,False,1.0,0.209551725376408,0.03543982160793701,0.26324235770979443,True,Drug Encapsulation Efficiency is Low <= 0.0205805 and Polymer MW is Low <= 0.0909091 and Drug Loading Capacity is Low > 0.990265,Early,rejected,"failed held-out test: coverage, CI excludes 0",0
0,Early phase tree (depth 3),IF Drug Encapsulation Efficiency is not Low AND Polymer MW has some Low AND Drug MW is not clearly Low,"(('Drug Encapsulation Efficiency is Low', 'low'), ('Drug MW is Low', 'low'), ('Polymer MW is Low', 'high'))",3,False,0.14492753623188406,0.2297,-0.07307154355410789,-0.17850416053661183,-0.36095515627314995,-0.13330854452222607,True,True,True,True,1.0,-0.17850416053661183,-0.3511864239250049,-0.13208599489204045,True,Drug Encapsulation Efficiency is Low <= 0.0205805 and Polymer MW is Low > 0.0909091 and Drug MW is Low <= 0.67311,Early,candidate,passed its own fold but replicated in only 1/3 required folds,1
0,Early phase tree (depth 3),IF Drug Encapsulation Efficiency is not Low AND Polymer MW has some Low AND Drug MW is mostly Low,"(('Drug Encapsulation Efficiency is Low', 'low'), ('Drug MW is Low', 'high'), ('Polymer MW is Low', 'high'))",3,False,0.09371980676328502,0.0372,0.03095915787807299,-0.032080598528597126,,,False,False,False,False,1.0,-0.032080598528597126,-0.31630404798492084,0.0259877620186669,False,Drug Encapsulation Efficiency is Low <= 0.0205805 and Polymer MW is Low > 0.0909091 and Drug MW is Low > 0.67311,Early,rejected,"failed held-out test: coverage, direction, CI excludes 0",0
0,Early phase tree (depth 3),IF Drug Encapsulation Efficiency has some Low AND Polymer MW is not clearly Low AND Drug Encapsulation Efficiency is not clearly Medium,"(('Drug Encapsulation Efficiency is Low', 'high'), ('Drug Encapsulation Efficiency is Medium', 'low'), ('Polymer MW is Low', 'low'))",3,False,0.3285024154589372,0.5034,-0.024542281923298187,0.10869192283458279,-0.17256354451541528,0.19952649474001902,True,False,False,False,1.0,0.10869192283458279,-0.17304847385240413,0.20115587932260137,False,Drug Encapsulation Efficiency is Low > 0.0205805 and Polymer MW is Low <= 0.945455 and Drug Encapsulation Efficiency is Medium <= 0.880211,Early,rejected,"failed held-out test: direction, CI excludes 0",0
0,Early phase tree (depth 3),IF Drug Encapsulation Efficiency has some Low AND Polymer MW is not clearly Low AND Drug Encapsulation Efficiency is mostly Medium,"(('Drug Encapsulation Efficiency is Low', 'high'), ('Drug Encapsulation Efficiency is Medium', 'high'), ('Polymer MW is Low', 'low'))",3,False,0.05893719806763285,0.0,0.13113088302404177,,,,False,False,False,False,,,,,False,Drug Encapsulation Efficiency is Low > 0.0205805 and Polymer MW is Low <= 0.945455 and Drug Encapsulation Efficiency is Medium > 0.880211,Early,rejected,"failed held-out test: coverage, direction, CI excludes 0",0
0,Early phase tree (depth 3),IF Drug Encapsulation Efficiency has some Low AND Polymer MW is mostly Low AND Formulation Method = W/O/W ≤ 0.5,"(('Drug Encapsulation Efficiency is Low', 'high'), ('Formulation Method = W/O/W', 'low'), ('Polymer MW is Low', 'high'))",3,False,0.11884057971014493,0.0541,0.09492078374150381,-0.06447304058902253,-0.3250500147173771,0.12493357605001795,True,False,False,False,1.0,-0.06447304058902253,-0.31548286148631693,0.12481596875375224,False,Drug Encapsulation Efficiency is Low > 0.0205805 and Polymer MW is Low > 0.945455 and Formulation Method = W/O/W <= 0.5,Early,rejected,"failed held-out test: direction, CI excludes 0",0
0,Early phase tree (depth 3),IF Drug Encapsulation Efficiency has some Low AND Polymer MW is mostly Low AND Formulation Method = W/O/W > 0.5,"(('Drug Encapsulation Efficiency is Low', 'high'), ('Formulation Method = W/O/W', 'high'), ('Polymer MW is Low', 'high'))",3,False,0.057004830917874394,0.0,0.35025990213204805,,,,False,False,False,False,,,,,False,Drug Encapsulation Efficiency is Low > 0.0205805 and Polymer MW is Low > 0.945455 and Formulation Method = W/O/W > 0.5,Early,rejected,"failed held-out test: coverage, direction, CI excludes 0",0
1,Early phase tree (depth 3),IF Drug Encapsulation Efficiency is not clearly High AND Formulation Method = W/O/W ≤ 0.5 AND Initial Drug-to-Polymer Ratio is not Medium,"(('Drug Encapsulation Efficiency is High', 'low'), ('Formulation Method = W/O/W', 'low'), ('Initial Drug-to-Polymer Ratio is Medium', 'low'))",3,False,0.4972924187725632,0.4798,0.06596548301952082,0.1686200729148864,0.0706961998821359,0.28499256216951235,True,True,True,True,1.0,0.1686200729148864,0.06982857836555482,0.285253553966939,True,Drug Encapsulation Efficiency is High <= 0.65373 and Formulation Method = W/O/W <= 0.5 and Initial Drug-to-Polymer Ratio is Medium <= 0.34208,Early,candidate,passed its own fold but replicated in only 1/3 required folds,1
1,Early phase tree (depth 3),IF Drug Encapsulation Efficiency is not clearly High AND Formulation Method = W/O/W ≤ 0.5 AND Initial Drug-to-Polymer Ratio has some Medium,"(('Drug Encapsulation Efficiency is High', 'low'), ('Formulation Method = W/O/W', 'low'), ('Initial Drug-to-Polymer Ratio is Medium', 'high'))",3,False,0.09386281588447654,0.0448,-0.09293097724708127,-0.1427862265881898,,,False,True,False,False,1.0,-0.1427862265881898,-0.2554645162915304,-0.06265234421249656,True,Drug Encapsulation Efficiency is High <= 0.65373 and Formulation Method = W/O/W <= 0.5 and Initial Drug-to-Polymer Ratio is Medium > 0.34208,Early,rejected,"failed held-out test: coverage, CI excludes 0",0
